is_match,company_type,page_handle,company_id,company_status_date,days_from_company_status_to_now,bigrams_intersection,times_prosecutor,times_defendant,times_unknown_appearences,companies_general_info_columns,changed_picture,has_website,has_top_20_website,phone,has_phone,email,has_email,number_of_likes,has_more_than_100_likes,has_more_than_10_likes,has_more_than_1_likes,checkins,were_here_count,talking_about_count,changed_cover,has_location,has_country,has_state,has_country_state,has_country_state_city,has_country_or_state_or_city,is_unclaimed,is_published,is_verified,is_permanently_closed,is_community_page,start_info,has_start_info,has_text,description_length,description_words,about_length,about_words,products_length,products_words,general_info_length,general_info_words,category,category_list,number_of_records,number_of_pages,companies_events_columns,first_event_time,last_event_time,number_of_different_months_with_events,total_events,total_attending,min_attending_per_event,max_attending_per_event,avg_attending_per_event,total_maybe,min_maybe_per_event,max_maybe_per_event,avg_maybe_per_event,total_noreply,min_noreply_per_event,max_noreply_per_event,avg_noreply_per_event,total_interested,min_interested_per_event,max_interested_per_event,avg_interested_per_event,total_declined,min_declined_per_post,max_declined_per_post,avg_declined_per_post,companies_photos,first_photo_time,last_photo_time,number_of_different_photo_uploaders,number_of_photos_self_tagged,number_of_photos_with_tagged_people_without_self,total_number_of_people_tagged_in_photos,avg_number_of_people_tagged_in_photos,min_number_of_people_tagged_in_photos,max_number_of_people_tagged_in_photos,avg_number_of_people_tagged_in_photos_when_more_than_zero,number_of_different_months_for_photos,total_photos,number_of_albums,number_of_normal_albums,number_of_wall_albums,number_of_mobile_albums,number_of_cover_albums,number_of_profile_albums,number_of_app_albums,number_of_null_albums,number_of_photos_in_normal_albums,number_of_photos_in_wall_albums,number_of_photos_in_mobile_albums,number_of_photos_in_cover_albums,number_of_photos_in_profile_albums,number_of_photos_in_app_albums,number_of_photos_in_null_albums,number_of_photos_1qr_before_status,number_of_photos_2qr_before_status,number_of_photos_3qr_before_status,number_of_photos_4qr_before_status,number_of_photos_6months_before_status,number_of_photos_12months_before_status,companies_posts_columns,companies_posts_calculation_date,days_from_last_post_to_now,days_from_last_post_to_company_status,first_post_time,last_post_time,number_of_different_months_with_posts,total_posts,total_user_changed_post_time,total_posts_with_photos,total_posts_with_photos_more_than_5_comments,total_posts_with_photos_less_than_5_comments,total_posts_with_photos_more_than_5_likes,total_posts_with_photos_less_than_5_likes,total_posts_with_link,total_posts_with_link_more_than_5_comments,total_posts_with_link_less_than_5_comments,total_posts_with_link_more_than_5_likes,total_posts_with_link_less_than_5_likes,total_user_posts,total_user_posts_more_than_5_comments,total_user_posts_less_than_5_comments,total_user_posts_more_than_5_likes,total_user_posts_less_than_5_likes,total_comments_to_user_posts,min_comments_per_user_posts,max_comments_per_user_posts,avg_comments_per_user_posts,total_likes_to_user_posts,min_likes_per_user_posts,max_likes_per_user_posts,avg_likes_per_user_posts,total_other_users_posts,total_other_users_posts_more_than_5_comments,total_other_users_posts_less_than_5_comments,total_other_users_posts_more_than_5_likes,total_other_users_posts_less_than_5_likes,total_comments_to_other_users_posts,min_comments_per_other_users_post,max_comments_per_other_users_post,avg_comments_per_other_users_post,total_likes_to_other_users_posts,min_likes_per_other_users_post,max_likes_per_other_users_post,avg_likes_per_other_users_post,companies_posts_comments_new_columns,first_time_of_post_with_comment,last_time_of_post_with_comment,number_of_different_months_with_comments,total_posts_with_comments,distinct_commentators,distinct_commentators_1qr_months_before_status,distinct_commentators_2qr_months_before_status,distinct_commentators_3qr_months_before_status,distinct_commentators_4qr_months_before_status,distinct_commentators_6months_before_status,distinct_commentators_12months_before_status,distinct_commentators_6months_after_status,companies_posts_reactions_columns,first_post_with_reaction_time,last_post_with_reaction_time,number_of_different_months_with_reactions,total_posts_with_reactions,distinct_interacting_users,distinct_interacting_users_1qr_before_status,distinct_interacting_users_2qr_before_status,distinct_interacting_users_3qr_before_status,distinct_interacting_users_4qr_before_status,distinct_interacting_users_6months_before_status,distinct_interacting_users_12months_before_status,distinct_interacting_users_6months_after_status
1,forceliquidated,4.33969E+14,511213977,11/24/2011,1678,31,0,3,0,companies_general_info_columns,1,0,0,-9557466,1,,0,56,0,1,1,0,0,0,1,1,1,0,0,0,1,FALSE,,FALSE,FALSE,,,0,0,,,,,,,,,Kitchen/Cooking,,1980,1896,companies_events_columns,11/9/2012,11/9/2012,1,1,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,companies_photos,7/2/2012,11/13/2012,1,0,3,6,0.071428571,0,2,2,4,84,8,5,1,0,1,1,0,0,73,7,0,3,1,0,0,0,0,0,0,0,0,companies_posts_columns,6/28/2016,737,-941,7/2/2012,6/22/2014,7,29,1,0,0,0,0,0,28,0,28,2,26,28,0,28,1,27,1,0,1,0.034482759,38,0,5,1.310344828,28,0,1,1,0,0,0,0,0,21,0,21,0.724137931,companies_posts_comments_columns,,,0,0,0,0,0,0,0,0,0,0,companies_posts_reactions_columns,7/2/2012,6/22/2014,23,29,0,0,0,0,0,0,0,0
1,forceliquidated,2.08444E+14,514119114,6/8/2011,1847,13,0,0,0,companies_general_info_columns,1,0,0,,0,,0,5369,1,1,1,93,93,4,1,1,1,0,0,0,1,FALSE,,FALSE,FALSE,,,0,1,392,157,,,,,,,Arts/Entertainment/Nightlife,Arts & Entertainment,1980,1896,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,companies_photos,4/12/2011,10/20/2015,1,77,29,146,0.151767152,0,14,1.489795918,33,962,40,36,1,1,1,1,0,0,617,157,138,33,17,0,0,168,0,0,0,168,168,companies_posts_columns,6/28/2016,233,-1614,4/12/2011,11/8/2015,46,587,68,481,0,481,12,469,487,0,487,12,475,550,0,550,13,537,89,0,4,0.151618399,610,0,12,1.039182283,550,0,37,0,37,13,0,3,0.022146508,6,0,2,0.010221465,companies_posts_comments_columns,5/6/2011,4/28/2015,23,68,44,4,0,0,0,4,4,8,companies_posts_reactions_columns,4/12/2011,11/8/2015,277,587,191,8,0,0,0,8,8,43
1,rasham,1.02081E+14,514883313,6/28/2016,0,17,0,0,0,companies_general_info_columns,1,1,1,054-219-7913,1,,0,2049,1,1,1,29,29,272,1,1,1,0,0,0,1,FALSE,,FALSE,FALSE,,,0,1,333,57,15,2,,,,,Sports/Recreation/Activities,"Sports Center,Sports Instruction,Sports Club",1980,1896,companies_events_columns,3/17/2016,3/17/2016,1,1,22,22,22,22,3,3,3,3,1,1,1,1,3,3,3,3,0,0,0,0,companies_photos,5/14/2015,12/6/2015,1,0,0,0,0,0,0,,8,76,6,2,1,1,1,1,0,0,14,52,8,1,1,0,0,0,0,29,17,0,47,companies_posts_columns,6/28/2016,18,18,5/14/2015,6/10/2016,13,128,46,80,2,78,60,20,83,2,81,62,21,115,3,112,72,43,82,0,6,0.640625,1620,0,200,12.65625,115,0,13,4,9,3,0,2,0.0234375,182,0,113,1.421875,companies_posts_comments_columns,5/14/2015,5/18/2016,11,42,49,7,6,20,14,11,36,0,companies_posts_reactions_columns,5/14/2015,6/10/2016,117,128,1456,851,38,399,253,865,1385,0
1,rasham,1.02164E+14,514248335,6/28/2016,0,8,3,0,6,companies_general_info_columns,1,0,0,"04-9837383, 04-9837382",1,,0,2469,1,1,1,0,0,19,1,1,0,0,0,0,0,FALSE,,FALSE,FALSE,,,0,1,145,21,17,3,39,6,38,6,Consulting/Business Services,,1980,1896,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,companies_photos,9/16/2010,6/14/2016,1,0,56,77,0.138240575,0,3,1.375,36,557,49,45,1,1,1,1,0,0,420,118,5,7,7,0,0,22,22,35,16,44,95,companies_posts_columns,6/28/2016,14,14,9/16/2010,6/14/2016,41,121,36,116,4,112,48,68,117,4,113,48,69,120,4,116,49,71,94,0,8,0.776859504,763,0,198,6.305785124,120,0,1,0,1,0,0,0,0,1,0,1,0.008264463,companies_posts_comments_columns,11/25/2010,5/19/2016,23,38,53,8,5,5,0,12,15,0,companies_posts_reactions_columns,9/16/2010,6/14/2016,108,121,366,45,37,23,10,68,82,0
2,rasham,1.08884E+14,515121572,6/28/2016,0,0,0,0,0,companies_general_info_columns,1,0,0,,0,,0,140,1,1,1,0,0,0,0,1,1,0,0,0,1,FALSE,,FALSE,FALSE,,,0,1,,,127,20,,,169,19,Organization,Organization,1980,1896,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,companies_photos,4/14/2010,4/14/2010,1,0,0,0,0,0,0,,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,companies_posts_columns,6/28/2016,1024,1024,4/14/2010,9/8/2013,8,11,0,2,0,2,0,2,5,0,5,0,5,8,0,8,0,8,0,0,0,0,2,0,2,0.181818182,8,0,3,0,3,0,0,0,0,0,0,0,0,companies_posts_comments_columns,,,0,0,0,0,0,0,0,0,0,0,companies_posts_reactions_columns,4/14/2010,9/8/2013,10,11,2,0,0,0,0,0,0,0
1,rasham,1.09062E+15,515004877,6/28/2016,0,1,0,0,0,companies_general_info_columns,1,1,1, 077-4131020 ,1,,0,1173,1,1,1,0,0,2,1,1,1,0,0,0,1,FALSE,,FALSE,FALSE,,,0,1,973,158,135,20,,,,,Local Business,Home Decor,1980,1896,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,companies_photos,11/12/2015,6/23/2016,1,0,0,0,0,0,0,,6,31,4,0,1,1,1,1,0,0,0,25,2,3,1,0,0,3,15,13,0,18,31,companies_posts_columns,6/28/2016,15,15,11/12/2015,6/13/2016,7,29,11,28,1,27,20,8,28,1,27,20,8,27,0,27,19,8,7,0,2,0.24137931,226,0,21,7.793103448,27,1,1,1,1,6,0,6,0.206896552,41,0,40,1.413793103,companies_posts_comments_columns,11/25/2015,4/28/2016,4,7,13,6,3,4,0,9,13,0,companies_posts_reactions_columns,11/12/2015,6/13/2016,26,29,117,42,65,30,0,101,117,0
1,forceliquidated,1.09125E+14,511098501,12/8/2014,568,2,0,11,0,companies_general_info_columns,0,0,0,03-6185133,1,,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,FALSE,,FALSE,FALSE,,,0,0,,,,,,,,,Community,,1980,1896,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,companies_posts_columns,6/28/2016,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,rasham,1.09181E+14,515316545,6/28/2016,0,17,0,0,0,companies_general_info_columns,1,1,1,-5472424,1,,0,10643,1,1,1,13,13,263,1,1,1,0,0,0,1,FALSE,,FALSE,FALSE,,,0,0,,,,,,,,,Home Improvement,Architect,1980,1896,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,companies_photos,11/21/2014,6/16/2016,1,1,9,11,0.053398058,0,2,1.222222222,20,206,7,3,1,1,1,1,0,0,27,167,10,1,1,0,0,17,24,16,10,41,68,companies_posts_columns,6/28/2016,19,19,11/21/2014,6/9/2016,20,154,97,139,57,82,102,37,142,57,85,103,39,106,58,48,103,3,723,0,49,4.694805195,13509,0,200,87.72077922,106,0,48,2,46,6,0,3,0.038961039,43,0,13,0.279220779,companies_posts_comments_columns,11/21/2014,5/10/2016,16,74,321,26,93,4,67,109,165,0,companies_posts_reactions_columns,11/21/2014,6/9/2016,144,154,3516,564,1144,161,682,1394,1838,0
1,forceliquidated,5.28889E+14,511825713,1/29/2014,881,13,0,7,2,companies_general_info_columns,1,0,0,0522266339-0543967327,1,,0,130,1,1,1,0,0,0,1,1,0,0,0,0,0,FALSE,,FALSE,FALSE,,12/15/1992,1,1,,,40,6,,,,,Company,,1980,1896,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,companies_photos,12/15/2014,3/10/2015,1,0,0,0,0,0,0,,2,8,4,0,1,1,1,1,0,0,0,4,2,1,1,0,0,0,0,0,0,0,0,companies_posts_columns,6/28/2016,476,-405,12/15/1992,3/10/2015,3,5,0,0,0,0,0,0,5,0,5,4,1,5,0,5,4,1,0,0,0,0,39,0,12,7.8,5,0,0,0,0,0,0,0,0,0,0,0,0,companies_posts_comments_columns,,,0,0,0,0,0,0,0,0,0,0,companies_posts_reactions_columns,12/15/1992,3/10/2015,5,5,0,0,0,0,0,0,0,0
1,forceliquidated,5.35978E+14,513210658,11/23/2005,3870,0,0,0,0,companies_general_info_columns,1,0,0,04-8448188,1,,0,27,0,1,1,0,0,0,1,1,1,0,0,0,1,FALSE,,FALSE,FALSE,,,0,1,,,93,12,,,,,Shopping/Retail,Mobile Phone Shop,1980,1896,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,companies_photos,6/17/2013,7/28/2013,1,1,1,3,0.142857143,0,2,1.5,2,21,6,3,1,0,1,1,0,0,13,6,0,1,1,0,0,0,0,0,0,0,0,companies_posts_columns,6/28/2016,1066,-2804,6/17/2013,7/28/2013,2,14,1,12,0,12,0,12,12,0,12,0,12,13,0,13,0,13,0,0,0,0,7,0,2,0.5,13,0,1,0,1,1,0,1,0.071428571,1,0,1,0.071428571,companies_posts_comments_columns,6/17/2013,6/17/2013,1,1,1,0,0,0,0,0,0,0,companies_posts_reactions_columns,6/17/2013,7/28/2013,6,14,4,0,0,0,0,0,0,0
1,forceliquidated,5.374E+14,513242412,9/2/2014,665,0,0,0,0,companies_general_info_columns,1,0,0,,0,,0,48,0,1,1,0,0,0,0,0,0,0,0,0,0,FALSE,,FALSE,FALSE,,,0,1,299,47,,,112,18,,,Industrials,,1980,1896,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,companies_photos,2/3/2014,2/16/2014,1,0,0,0,0,0,0,,1,6,3,1,1,0,0,1,0,0,3,2,0,0,1,0,0,0,0,6,0,0,6,companies_posts_columns,6/28/2016,135,-530,2/8/2014,2/14/2016,2,7,1,6,0,6,0,6,6,0,6,0,6,2,0,2,0,2,0,0,0,0,3,0,2,0.428571429,2,0,5,0,5,2,0,2,0.285714286,10,0,4,1.428571429,companies_posts_comments_columns,2/16/2014,2/16/2014,1,1,2,0,0,2,0,0,2,0,companies_posts_reactions_columns,2/8/2014,2/14/2016,6,7,8,0,0,8,0,0,8,0
1,forceliquidated,1.8355E+14,513914911,8/21/2014,677,0,1,3,0,companies_general_info_columns,1,1,1,35588980,1,,0,6756,1,1,1,3,3,20,1,1,1,0,0,0,1,FALSE,,FALSE,FALSE,,1/1/2012,1,1,209,28,67,7,,,,,Shopping/Retail,Furniture Store,1980,1896,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,companies_photos,3/27/2012,4/4/2016,1,0,2,3,0.003108808,0,2,1.5,31,965,43,39,1,1,1,1,0,0,779,88,94,3,1,0,0,0,1,35,69,1,105,companies_posts_columns,6/28/2016,54,-623,3/27/2012,5/5/2016,43,245,76,205,9,196,124,81,206,9,197,124,82,233,9,224,137,96,448,0,200,1.828571429,2007,0,187,8.191836735,233,1,11,3,9,18,0,9,0.073469388,45,0,17,0.183673469,companies_posts_comments_columns,3/27/2012,5/5/2016,29,75,339,1,16,87,3,16,92,0,companies_posts_reactions_columns,3/27/2012,5/5/2016,206,245,860,13,30,146,31,37,177,0
1,rasham,1.0689E+14,514313824,6/28/2016,0,0,0,0,0,companies_general_info_columns,1,0,0,528875083,1,,0,1067,1,1,1,0,0,16,1,1,0,0,0,0,1,FALSE,,FALSE,FALSE,,1/1/2007,1,1,652,99,146,17,,,934,134,Business Services,,1980,1896,companies_events_columns,1/2/2014,1/2/2014,1,1,5,5,5,5,0,0,0,0,10,10,10,10,0,0,0,0,0,0,0,0,companies_photos,3/23/2010,2/6/2016,1,0,0,0,0,0,0,,19,78,7,3,1,1,1,1,0,0,15,53,1,6,3,0,0,0,15,0,1,15,16,companies_posts_columns,6/28/2016,143,143,3/23/2010,2/6/2016,32,111,12,95,0,95,37,58,104,0,104,37,67,103,0,103,37,66,21,0,4,0.189189189,2452,0,190,22.09009009,103,0,8,0,8,0,0,0,0,0,0,0,0,companies_posts_comments_columns,9/29/2014,9/1/2015,6,10,12,0,0,0,1,0,1,0,companies_posts_reactions_columns,3/23/2010,2/6/2016,107,111,1425,0,1,0,312,1,313,0
1,rasham,1.01766E+14,514108232,6/28/2016,0,1,0,0,0,companies_general_info_columns,1,0,0,03-9192949,1,,0,6,0,0,1,0,0,1,0,1,0,0,0,0,1,FALSE,,FALSE,FALSE,,,0,0,,,,,,,,,Local Business,,1980,1896,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,companies_photos,6/15/2010,6/15/2010,1,0,0,0,0,0,0,,1,15,2,1,0,0,0,1,0,0,14,0,0,0,1,0,0,0,0,0,0,0,0,companies_posts_columns,6/28/2016,477,477,6/15/2010,3/9/2015,4,7,0,1,0,1,0,1,1,0,1,0,1,6,0,6,0,6,0,0,0,0,0,0,0,0,6,0,1,0,1,0,0,0,0,0,0,0,0,companies_posts_comments_columns,,,0,0,0,0,0,0,0,0,0,0,companies_posts_reactions_columns,6/15/2010,3/9/2015,5,7,0,0,0,0,0,0,0,0
1,forceliquidated,2.66688E+14,510785082,6/17/2014,742,12,0,2,0,companies_general_info_columns,1,1,1,97235445014,1,,0,923,1,1,1,5,5,0,1,1,1,0,0,0,1,FALSE,,FALSE,FALSE,,,0,1,962,160,76,13,,,,,Home Improvement,Home Improvement,1980,1896,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,companies_photos,12/19/2013,3/31/2014,1,55,23,111,1.541666667,0,11,1.947368421,4,72,4,0,1,1,1,1,0,0,0,64,6,1,1,0,0,3,69,0,0,72,72,companies_posts_columns,6/28/2016,792,50,12/19/2013,4/28/2014,5,24,10,23,1,22,23,0,23,1,22,23,0,22,1,21,22,0,16,0,5,0.666666667,403,0,33,16.79166667,22,0,2,1,1,2,0,2,0.083333333,14,0,14,0.583333333,companies_posts_comments_columns,12/19/2013,4/8/2014,5,10,16,2,14,0,0,16,16,0,companies_posts_reactions_columns,12/19/2013,4/28/2014,23,24,190,73,144,0,0,190,190,0
2,forceliquidated,2.71355E+14,513052175,12/22/2014,554,1,0,4,2,companies_general_info_columns,1,0,0,523206245,1,,0,22,0,1,1,0,0,0,0,1,1,0,0,0,1,FALSE,,FALSE,FALSE,,,0,1,,,53,8,,,,,Community,,1980,1896,companies_events_columns,,,0,0,,,,,,,,,,,,,,,,,,,,,companies_photos,9/3/2011,9/3/2011,1,0,0,0,0,0,0,,1,2,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,companies_posts_columns,6/28/2016,351,-203,10/23/2012,7/13/2015,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,2,0,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,companies_posts_comments_columns,,,0,0,0,0,0,0,0,0,0,0,companies_posts_reactions_columns,10/23/2012,7/13/2015,2,2,2,0,0,0,0,0,0,0
